;FluxValues
R_GAT1_SC;0.0028203956165180778
R_GAT2_SC;0.0
R_GBEZ;0.0
R_GCALDt;-2.1026578736649295e-06
R_GCALDtm;-0.0
R_GCC2am;-0.0
R_GCC2bim;0.0
R_GCC2cm_copy1;-0.0
R_GCCam;-0.0
R_GCCbim;0.0
R_GCCcm;-0.0
R_GDPMANNtg;0.0
R_GDPt3g;-0.0
R_GDPtn;-0.0
R_GF6PTA;0.0
R_GGLGH;-0.0
R_GGTT;0.0
R_GHMT2r;0.013777118829262497
R_GHMT2rm;-0.0
R_GK1;-0.0
R_GK2;0.0
R_GLCGSD;0.0
R_GLCGSDv;0.0
R_GLCNtv;0.0
R_GLCP;0.0
R_GLCS2;0.015679420000000003
R_GLCt1;0.7317
R_GLCtv;-0.0
R_GLNS;0.032564954531529425
R_GLNTRS;0.004596866291592645
R_GLNt2n;-0.0
R_GLNt2r;-0.0
R_GLNt6;0.0
R_GLNt7;0.0
R_GLPT;0.0
R_GLU5K;0.006732792117934714
R_GLUCYS;0.00121209255
R_GLUDC;0.0
R_GLUDxi;0.0
R_GLUDy;-0.23841592981574944
R_GLUK;0.0
R_GLUN;0.0
R_GLUPRT;0.0028891320907125546
R_GLUSx;0.0
R_GLUTRS;0.008876324032972435
R_GLUTRSm;1.0896061767443428e-05
R_GLUt2n;-0.0
R_GLUt2r;-0.0
R_GLUt5m;0.0
R_GLUt7;0.0
R_GLUt7m;0.0
R_GLXt;-0.0
R_GLXtp;-0.0
R_GLYAT;-0.0
R_GLYC3Ptm;0.0
R_GLYCDy;0.0
R_GLYCLm;0.0
R_GLYCt;-0.0036
R_GLYCt2;0.0
R_GLYGS;0.0
R_GLYK;0.0
R_GLYOX;0.0061
R_GLYOXm;0.0
R_GLYTRS;0.008839810600327243
R_GLYt2m;6.224090047549601e-05
R_GLYt2r;0.0
R_GMPS2;0.0014602368790686063
R_GND;0.15951016859010136
R_GNNUC;0.0
R_GPDDA1;0.0
R_GRTT;0.0011635407730388207
R_GSNK;0.0
R_GSNt2;0.0
R_GSNt2m;-0.0
R_GTHOr;0.0
R_GTHOXti;0.0
R_GTHOm;0.0
R_GTHPi;-0.0
R_GTHPm;-0.0
R_GTHRDabcv;0.0
R_GTHRDt2;0.0
R_GTHS;0.00121209255
R_GTMLT;0.0
R_GTPCI;0.0
R_GTPCII;1.6170601277490306e-06
R_GTPH1;0.0
R_GTPt2m;0.0
R_GUAD;0.0
R_GUAPRT;0.0
R_GUAt2r;-0.0
R_GUAtm;-0.0
R_H2O2tn;-0.0
R_H2Ot;-1.6737736128631364
R_H2Oter;-0.0005817703865194103
R_H2Otm;-1.9560903277296366
R_H2Otn;-0.0
R_H2Otp;-0.0
R_H2Otv;-0.0
R_HACD10p;-0.0
R_HACD4p;-0.0
R_HACD5p;-0.0
R_HACD6p;-0.0
R_HACD7p;-0.0
R_HACD8p;-0.0
R_HACNHm;-0.0
R_HBZOPT6m;0.0
R_HCITSm;0.008985247391281505
R_HCITSn;0.0
R_HCO3E;0.17584667431393916
R_HCO3Em;-0.0
R_HCO3En;-0.0
R_HCO3tn;-0.0
R_HCYSMT;0.0
R_HCYSt2p;-0.0
R_HDCAt;0.0
R_HDCEAt;0.0
R_HEMEOMOm;0.0
R_HEMEOSm;0.0
R_HETZK;0.0
R_HEX1;0.7317
R_HEX4;0.0
R_HEX7;0.0
R_HEXCCOAtx;-0.0
R_HEXDPtm;-0.0
R_HGNTOR;0.0
R_HICITDm;-0.0
R_HISTD;0.0025573951612366096
R_HISTP;0.0025573951612366096
R_HISTRS;0.002372672754896461
R_HISTRSm;1.315082234014873e-05
R_HISt2m;-1.315082234014873e-05
R_HISt2r;-0.0
R_HISt6;0.0
R_HKYNH;0.0
R_HMBS;1.4831339250874803e-06
R_HMGCOAR;-0.003490622319116462
R_HMGCOAS;-0.0
R_HMGCOASm;-0.003490622319116462
R_HMGCOAtm;-0.003490622319116462
R_HMPK1;2.1026578736649295e-06
R_HPPKm;0.0
R_HPROa;0.0
R_HPROb;0.0
R_HPROxm;0.0
R_HPROym;0.0
R_HSDxi;0.01986120269739134
R_HSDy;0.0
R_HSERTA;0.005402640329103798
R_HSK;0.014458562368287547
R_HSTPT;0.0025573951612366096
R_HXANt2r;-0.0
R_HXPRT;0.0
R_HYPOE;0.0
R_IAMACt;0.0
R_IAMOHt;-0.12190383906220364
R_IAMOHtm;-0.0
R_IBUTACt;0.0
R_IBUTOHt;0.0
R_IBUTOHtm;-0.0
R_ICDHxm;0.0
R_ICDHyr;0.09475384535371267
R_ICDHym;0.0
R_ICDHyp;0.0
R_ICL;0.0018973065756264663
R_ID3ACALDt;-0.0
R_ID3ACALDtm;-0.0
R_IG3PS;0.0025573951612366096
R_IGPDH;0.0025573951612366096
R_IGPS;0.0015010238068818731
R_ILETA;-0.00855281256757999
R_ILETAm;-8.107446761560751e-05
R_ILETRS;0.00845452481757999
R_ILETRSm;8.107446761560751e-05
R_ILEt2r;-0.0
R_ILEt6;0.0
R_ILEt7;0.0
R_ILEtmi;0.0
R_IMPC;-0.005444424594075499
R_IMPD;0.0014602368790686063
R_IND3ACtm;-0.0
R_IND3ETHt;-0.0
R_IND3ETHtm;-0.0
R_INDPYRD;-0.0
R_INSK;0.0
R_INSTt2;0.0
R_INSt2;0.0
R_IPC124PLC_SC;0.0
R_IPC126PLC_SC;0.0
R_IPC224PLC_SC;0.0
R_IPC226PLC_SC;0.0
R_IPC324PLC_SC;0.0
R_IPC326PLC_SC;0.0
R_IPCS124_SC;0.0
R_IPCS126_SC;0.0
R_IPCS224_SC;0.0
R_IPCS226_SC;0.0
R_IPCS324_SC;0.0
R_IPCS326_SC;0.0
R_IPDDI;-0.0
R_IPDPtm;-0.0
R_IPMD;0.13382216855463921
R_IPPMIa;-0.13382216855463921
R_IPPMIb;-0.13382216855463921
R_IPPS;0.0
R_IPPSm;0.13382216855463921
R_ITCOALm;-0.0
R_KARA1im;0.29007788386207806
R_KARA2im;0.008633887035195598
R_KYN;0.0
R_KYN3OX;0.0
R_Kt2r;-0.0
R_LALDO3;0.0
R_LANOSTAT_SC;0.0
R_LANOSTESTH_SC;0.0
R_LANOSTESTH_SCe;0.0
R_LANOSTt;-0.0
R_LCADi;0.0
R_LCYSTintv;0.0
R_LEUTA;-0.0118046049069068
R_LEUTAm;-0.00011372458552877803
R_LEUTRS;0.011706317156906799
R_LEUTRSm;0.00011372458552877803
R_LEUt2r;-0.0
R_LEUt6;0.0
R_LEUt7;0.0
R_LGTHL;0.0061
R_LNS14DM;0.0
R_LNS14DMx;0.0005817703865194103
R_LNSTLS;0.0005817703865194103
R_LPCAT_SC;0.0
R_LPP_SC;0.0
R_LSERDHr;-0.0
R_LYSTRS;0.008970887943023448
R_LYSTRSm;1.4359448258057076e-05
R_LYSt2m;-0.0
R_LYSt2r;-0.0
R_LYSt6;0.0
R_L_LACD2cm;0.0
R_L_LACt2r;-0.0
R_L_LACtm;-0.0
R_MACACI;0.0
R_MALOAAtp;-0.0
R_MALS;0.0
