;ID;Mu_max_KO;Mu_max_WT;Relative_Mu
YLR382C_m__+__YJR051W_m;YLR382C_m__+__YJR051W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YBR084W_m;YLR382C_m__+__YBR084W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPL262W_m;YLR382C_m__+__YPL262W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YAL044C_m;YLR382C_m__+__YAL044C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDR019C_m;YLR382C_m__+__YDR019C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YMR189W_m;YLR382C_m__+__YMR189W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YBR263W_m;YLR382C_m__+__YBR263W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPR184W_m;YLR382C_m__+__YPR184W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YOL033W_m;YLR382C_m__+__YOL033W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YOR040W_m;YLR382C_m__+__YOR040W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPL091W_m;YLR382C_m__+__YPL091W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YDL131W_m;YLR382C_m__+__YDL131W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPR033C_m;YLR382C_m__+__YPR033C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YHR011W_m;YLR382C_m__+__YHR011W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YGR102C_m;YLR382C_m__+__YGR102C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YBL080C_m;YLR382C_m__+__YBL080C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YMR293C_m;YLR382C_m__+__YMR293C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YLR342W_m;YLR382C_m__+__YLR342W_m;0,05753619577906122;0,11636502057081088;0,49444580078125
YLR382C_m__+__YML110C_m;YLR382C_m__+__YML110C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YOR374W_m;YLR382C_m__+__YOR374W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YER073W_m;YLR382C_m__+__YER073W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YPL028W_m;YLR382C_m__+__YPL028W_m;0,057653384673068686;0,11636502057081088;0,495452880859375
YLR382C_m__+__YMR207C_m;YLR382C_m__+__YMR207C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YLR382C_m__+__YJL071W_m;YLR382C_m__+__YJL071W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YGR287C_m;YNL073W_m__+__YGR287C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YPR006C_m;YNL073W_m__+__YPR006C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YKL085W_m;YNL073W_m__+__YKL085W_m;0,01945889016628712;0,11636502057081088;0,16722284816205504
YNL073W_m__+__YKL029C_m;YNL073W_m__+__YKL029C_m;0,05480178825222026;0,11636502057081088;0,470947265625
YNL073W_m__+__YFL018C_m;YNL073W_m__+__YFL018C_m;0,05741900688505375;0,11636502057081088;0,493438720703125
YNL073W_m__+__YLR089C_m;YNL073W_m__+__YLR089C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YGL256W_m;YNL073W_m__+__YGL256W_m;0,05712374580444899;0,11636502057081088;0,4909013509750366
YNL073W_m__+__YMR083W_m;YNL073W_m__+__YMR083W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YHR091C_m;YNL073W_m__+__YHR091C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YCR024C_m;YNL073W_m__+__YCR024C_m;0,05782779470672824;0,11636502057081088;0,496951699256897
YNL073W_m__+__YKL106W_m;YNL073W_m__+__YKL106W_m;0,05782779470672824;0,11636502057081088;0,496951699256897
