;Enzyme_ID;Flux_FBA;Flux;Concentration;Kapp;Comment;Pseudo complex members;Taken from
R_ASNTRS;R_ASNTRS_enzyme;0.043606074201515375;1.0;3.855762848467939e-06;11309.324747200662;estimated;R_ASNTRS_enzyme;
R_ASPCT;R_ASPCT_enzyme;0.09161058615224368;1.0;8.825114526441688e-06;10380.668248299928;estimated;R_ASPCT_enzyme;
R_ASPK;R_ASPK_enzyme;1.0832973666819312;1.0;3.915153659538784e-06;276693.44829994405;estimated;R_ASPK_enzyme;
R_ASPTA;R_ASPTA_enzyme;1.4223238468826986;-1.0;5.048904746119804e-06;281709.38419382664;estimated;R_ASPTA_enzyme;
R_ASPTAp;R_ASPTAp_enzyme;;;;143677.3442841348;twinenzyme;;R_ASPTA_enzyme , R_TYRTAi_duplicate_3_enzyme
R_ASPTRS;R_ASPTRS_enzyme;0.047927140194301485;1.0;3.6963217612196845e-06;12966.171045262803;estimated;R_ASPTRS_enzyme;
R_ATPPRT;R_ATPPRT_enzyme;0.02029758120500395;1.0;9.706089006641531e-06;2091.2214168976852;estimated;R_ATPPRT_enzyme;
R_ATPS;R_ATPS_enzyme;1.5431324802681976;1.0;3.955468485284139e-06;390126.3493842114;estimated;R_ATPS_enzyme , R_ATPS_duplicate_2_enzyme;
R_ATPS3m;R_ATPS3m_enzyme;0.9582903201691914;1.0;1.1800672350540383e-05;81206.41703312004;estimated;R_ATPS3m_enzyme , R_ATPS3m_duplicate_2_enzyme;
R_ATPS3m_duplicate_2;R_ATPS3m_duplicate_2_enzyme;0.9582903201691914;1.0;1.1800672350540383e-05;81206.41703312004;estimated;R_ATPS3m_enzyme , R_ATPS3m_duplicate_2_enzyme;
R_ATPS_duplicate_2;R_ATPS_duplicate_2_enzyme;1.5431324802681976;1.0;3.955468485284139e-06;390126.3493842114;estimated;R_ATPS_enzyme , R_ATPS_duplicate_2_enzyme;
R_ATPtm_H;R_ATPtm_H_enzyme;;;;7.3428364100643915;twinenzyme;;R_ATPtm_HAdded_enzyme , R_dATPtm_HAdded_enzyme
R_ATPtm_HAdded;R_ATPtm_HAdded_enzyme;0.00033971773442619717;1.0;4.626519173987945e-05;7.3428364100643915;estimated;R_ATPtm_HAdded_enzyme;
R_ATPtm_HAdded_duplicate_2;R_ATPtm_HAdded_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_ATPtm_HAdded
R_ATPtm_HAdded_duplicate_3;R_ATPtm_HAdded_duplicate_3_enzyme;;1.0;;0.0;isoenzyme;;R_ATPtm_HAdded
R_BPNT;R_BPNT_enzyme;0.0322051354200983;1.0;4.059717469129132e-06;7932.851402835864;estimated;R_BPNT_enzyme;
R_C22STDSx;R_C22STDSx_enzyme;0.003360919109116784;1.0;1.1908559343109677e-06;2822.2717897958164;estimated;R_C22STDSx_enzyme , R_C22STDSx_duplicate_2_enzyme;
R_C22STDSx_duplicate_2;R_C22STDSx_duplicate_2_enzyme;0.003360919109116784;1.0;1.1908559343109677e-06;2822.2717897958164;estimated;R_C22STDSx_enzyme , R_C22STDSx_duplicate_2_enzyme;
R_C24STRer;R_C24STRer_enzyme;0.003360919109116784;1.0;3.3468778442055196e-07;10041.95332355967;estimated;R_C24STRer_enzyme;
R_C3STDH1;R_C3STDH1_enzyme;0.006721838218233568;1.0;4.5398686337400065e-06;1480.623947635248;estimated;R_C3STDH1_enzyme;
R_C3STDH2;R_C3STDH2_enzyme;0.006721838218233568;1.0;4.5398686337400065e-06;1480.623947635248;estimated;R_C3STDH2_enzyme;
R_C3STKR1;R_C3STKR1_enzyme;0.006721838218233568;1.0;2.8642752908866743e-06;2346.7849754597905;estimated;R_C3STKR1_enzyme;
R_C3STKR2;R_C3STKR2_enzyme;0.006721838218233568;1.0;2.8642752908866743e-06;2346.7849754597905;estimated;R_C3STKR2_enzyme;
R_CBPS;R_CBPS_enzyme;0.10043122097671464;1.0;5.129583428160549e-06;19578.825918955554;estimated;R_CBPS_enzyme;
R_CBPS_duplicate_2;R_CBPS_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_CBPS
R_CHORS;R_CHORS_enzyme;0.07594924530322297;1.0;8.621899040866403e-07;88088.76668960732;estimated;R_CHORS_enzyme;
R_CITtam;R_CITtam_enzyme;0.4141750263563636;-1.0;1.3835008495701813e-06;299367.38129581726;estimated;R_CITtam_enzyme;
R_CITtam_duplicate_2;R_CITtam_duplicate_2_enzyme;;-1.0;;0.0;isoenzyme;;R_CITtam
R_CITtbm;R_CITtbm_enzyme;;;;299367.38129581726;twinenzyme;;R_CITtam_enzyme
R_CITtcm;R_CITtcm_enzyme;;;;299367.38129581726;twinenzyme;;R_CITtam_enzyme
R_CSm;R_CSm_enzyme;0.4141750263563636;1.0;6.483707252988328e-06;63879.35330754965;estimated;R_CSm_enzyme , R_CSm_duplicate_2_enzyme;
R_CSm_duplicate_2;R_CSm_duplicate_2_enzyme;0.4141750263563636;1.0;6.483707252988328e-06;63879.35330754965;estimated;R_CSm_enzyme , R_CSm_duplicate_2_enzyme;
R_CTPS1;R_CTPS1_enzyme;0.013389975764035472;1.0;1.5711980287658134e-07;85221.43942958857;estimated;R_CTPS1_enzyme , R_CTPS1_duplicate_2_enzyme;
R_CTPS1_duplicate_2;R_CTPS1_duplicate_2_enzyme;0.013389975764035472;1.0;1.5711980287658134e-07;85221.43942958857;estimated;R_CTPS1_enzyme , R_CTPS1_duplicate_2_enzyme;
R_CTPS2;R_CTPS2_enzyme;;;;85221.43942958857;twinenzyme;;R_CTPS1_enzyme
R_CYOOm;R_CYOOm_enzyme;;1.0;;0.0;isoenzyme;;R_CYOOm
R_CYOOm_duplicate_2;R_CYOOm_duplicate_2_enzyme;;1.0;;0.0;isoenzyme;;R_CYOOm
